,document_file_id,link,file,extension
65,83355,https://declarator.org/document/70338/file/83355,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
66,83356,https://declarator.org/document/70338/file/83356,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
67,83357,https://declarator.org/document/70338/file/83357,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
68,83358,https://declarator.org/document/70338/file/83358,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
69,83359,https://declarator.org/document/70338/file/83359,"attachment; filename=""2019_Rukovoditeli_TFOMS.pdf""",pdf
70,83360,https://declarator.org/document/70338/file/83360,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
71,83364,https://declarator.org/document/70338/file/83364,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
72,83365,https://declarator.org/document/70338/file/83365,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
73,83366,https://declarator.org/document/70338/file/83366,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
74,83367,https://declarator.org/document/70338/file/83367,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
75,83368,https://declarator.org/document/70338/file/83368,"attachment; filename=""2018_Rukovoditel'_FGUP_NKRT.pdf""",pdf
76,83369,https://declarator.org/document/70338/file/83369,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FGUP).rtf""",rtf
77,83370,https://declarator.org/document/70338/file/83370,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FGBU).rtf""",rtf
78,83371,https://declarator.org/document/70338/file/83371,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FGUP).rtf""",rtf
79,83372,https://declarator.org/document/70338/file/83372,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FGBU).rtf""",rtf
80,83373,https://declarator.org/document/70338/file/83373,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
81,83374,https://declarator.org/document/70338/file/83374,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
